French,English
insensible,insensitive
buter,"to stumble, trip, run into, prop up, score"
une bulle,bubble
défavorable,unfavorable
un promoteur,"promoter, instigator, developer"
albanais,Albanian
une obsession,obsession
exciter,"to arouse, waken, excite, turn on [not ""susciter"" / ""éveiller""]"
une simplicité,"simplicity, straightforwardness"
savoir-faire,know-how
sévèrement,"severely, harshly [not ""durement""]"
écrasant,"crushing, overwhelming"
vendu,"sold, bribed"
une munition,"ammunition, supplies"
capturer,"to capture, catch [not ""capter""]"
un compliment,compliment
un voisinage,"neighborhood, vicinity"
scandaliser,"to shock, scandalize"
une cassette,cassette
un résident,"foreign national, foreign resident, resident"
s'empresser,"to bustle about, hasten to do"
inonder,"to flood, inundate"
réglementer,"to regulate, control"
sonder,"to probe, poll, sound out"
vigilant,"vigilant, watchful"
allouer,to allocate
une cage,cage
réglé,"ruled, steady, well-ordered, regular"
un téléspectateur,TV viewer
un golf,"golf, golf course"
forestier,"forest, forester"
hum,"um, uh"
ravager,"to ravage, devastate"
rhétorique,"rhetorical, rhetoric"
un réveil,"waking up, awakening, alarm clock"
ensuivre,"to follow, result, ensue [not ""suivre""]"
un relevé,"statement, list; (relieved; put in relief; rolled up)"
ajourner,"to adjourn, defer, postpone"
une détérioration,deterioration
viable,"viable, workable"
un cochon,pig
racial,racial
atroce,atrocious
civique,civil; civics
ancrer,to anchor
raccrocher,to hang up
un cirque,circus; cirque
une législature,legislature
barbare,barbaric; barbarian
confiner,"to confine, to border [not ""limiter"" / ""borner""]"
agrandir,"to enlarge, extend [not ""élargir""]"
occasionner,"to cause, give rise to"
un allégement,"lightening, unweighting, reduction, alleviation"
malin,"smart, shrewd, cunning"
performant,"productive, efficient [not ""productif"" / ""efficace""]"
audiovisuel,audio-visual
cuire,"to cook, bake, roast"
raser,"to shave, raze"
ha,oh
revivre,"to live again, come back to life, revive"
un piano,piano
une concertation,"meeting, consultation [not ""réunion"" / ""rencontre"" / ""assemblée""]"
un vaisseau,"ship, vessel [not ""navire"" / ""bateau""]"
une interaction,interaction
une sérénité,"serenity, peacefulness"
un sillage,"wake, slipstream"
synonyme,synonymous; (synonym)
hisser,"to hoist, raise up"
agréer,"to accept, approve of [not ""approuver"" / ""accepter""]"
un comble,"despair [not ""désespoir""]; summit, overmeasure; roof"
pessimiste,pessimistic; (pessimist)
insignifiant,"insignificant, unimportant"
décoller,"to take off; to loosen, unstick"
solidaire,"interdependent, jointly dependent, solidary"
ferroviaire,"railway, rail"
dépouiller,"to skin, strip away, deprive, analyze"
bosniaque,Bosnian
aménager,"to develop, plan, fit, adjust [not ""développer""]"
une agitation,"agitation, excitement"
un exode,exodus
une aire,"surface, area [not ""surface""]"
une céréale,cereal
un socialisme,socialism
une harmonisation,harmonization
provisoirement,"temporarily, provisionally"
un cocktail,"cocktail, cocktail party"
une moyenne,"average [not ""moyen""]"
rigoler,"to laugh [not ""rire""]"
un orgueil,"pride [not ""fierté""]"
une compression,"compression; cutback, reduction"
expérimenter,to experiment
détériorer,to deteriorate
exprès,"deliberately, on purpose, intentionally; express [not ""délibérément""]"
réfléchi,"thoughtful, well thought out"
écrouler,"to collapse, tumble [not ""s'effondrer""]"
