Russian,English
блеск,shine [noun]
божий,God’s (adj)
боль,pain
верста,verst (slightly over a kilometre)
воображение,imagination [not фантазия]
вчерашний,yesterday’s
грозный,threatening
домик,cottage [not изба]
закат,sunset
заметка,"mark, (written) note [not записка]"
квартал,block (of buildings); quarter of year
кукла,doll
летний,summer (adj)
ловить/поймать,to catch (+a)
модель,model (of sth)
называемый,called
нарочно,deliberately
окончание,"end, ending"
отнюдь,not at all
пластинка,(gramophone) record; flat piece of metal or other material
плыть/по-,to sail; swim
подбирать/подобрать,to pick up; select (+a)
помимо (+g),apart from
последующий,"subsequent, following"
целовать/по-,to kiss (+a)
превращать/превратить,"to convert, turn (into) (в +a)"
пуля,bullet
пьеса,play (theatre)
рубаха,shirt
руководить (+inst),"to manage, supervise, lead"
сверкать,to sparkle
серебряный,silver (adj)
слушаться/по- (+g),to obey
сорт,"grade, quality"
спасение,"salvation, rescue"
стиль,style
стимул,stimulus
строиться/по-,to be built
сумасшедший,mad; madman
то-то,"that’s it, that’s right"
угрожать (+d),to threaten (s.o.)
умение,ability
фантастика,"fantastic, fantasy (noun)"
чтение,reading (noun)
верх,top
включать/включить,to include; switch on (+a)
внезапный,sudden
вслух,aloud
гордый,proud
горький,bitter
господство,"domination, supremacy"
делегат,delegate
дешёвый,cheap
длительный,lengthy
догонять/догнать,to catch up (with) (+a)
естественный,natural [not природный]
заяц,hare
коли,if (coll)
кора,"bark, rind, crust"
летать/по-,to fly around
лётчик,"pilot, airman"
луг,meadow
мгновение,moment
напротив,opposite; on the contrary
незнакомый,unfamiliar
нерв,nerve
публиковать/о-,to publish (+a)
отдыхать/отдохнуть,to rest; have/take a holiday
оценка,assessment
поэзия,poetry
предыдущий,preceding
приветствовать,to greet (+a)
применяться/примениться,to be used; (к +d) adapt os (to)
разрушение,destruction
ресурс,resource
ругаться,"to swear, curse"
сознательный,"(politically, socially) conscious; deliberate"
сравнивать/сравнить,to compare (sth with sth) (+a с +inst)
удовлетворение,satisfaction
уничтожение,"annihilation, destruction"
эй,Hey! (attracting attention)
агрессор,aggressor
бешеный,mad; furious
бормотать/про-,to mumble
вдали,in the distance
ведро,bucket
всемирный,"world, worldwide"
вырываться/вырваться,to tear oneself away
высказывать/высказать,to express (+a)
